code,kline_time,open,high,low,close,volume,amount
000688.SH,2025-02-14,1012.6124,1024.9647,1008.2816,1022.4634,37162621,141312513028
000688.SH,2025-02-17,1030.8585,1039.7455,1026.8864,1037.307,40674790,155213368954
000688.SH,2025-02-18,1034.63,1036.5001,1006.9427,1011.1683,38599958,142454460289
000688.SH,2025-02-19,1010.6692,1035.0632,1010.3699,1034.5705,41785846,157103942262
000688.SH,2025-02-20,1034.7866,1041.616,1025.9153,1033.0853,40160792,148449946590
000688.SH,2025-02-21,1042.4012,1098.5975,1038.8487,1094.7739,51205572,214169428688
000688.SH,2025-02-24,1093.0294,1110.0555,1084.5742,1100.0534,47334072,189388061218
000688.SH,2025-02-25,1083.9401,1119.3044,1079.4882,1102.9012,44028999,181408469859
000688.SH,2025-02-26,1108.5835,1129.6339,1093.2705,1126.8203,48188607,193424997599
000688.SH,2025-02-27,1127.2467,1140.3686,1101.5243,1126.287,48414146,193077570241
000688.SH,2025-02-28,1118.5211,1123.5641,1076.0107,1078.7976,48627539,189935328427
000688.SH,2025-03-03,1079.6434,1087.716,1055.7722,1062.3506,40444205,154112107620
000688.SH,2025-03-04,1052.4679,1088.5338,1050.2466,1080.6648,36576289,144478163758
000688.SH,2025-03-05,1081.0973,1090.4701,1072.0567,1083.8168,35061162,133456012722
000688.SH,2025-03-06,1100.4421,1125.6379,1099.7182,1121.5845,44917469,179760327391
000688.SH,2025-03-07,1113.838,1120.9826,1102.6103,1107.6227,38649049,146625779822
000688.SH,2025-03-10,1107.3097,1111.7369,1088.3435,1105.1639,35068148,133821220747
000688.SH,2025-03-11,1086.3832,1102.9116,1085.4614,1100.7418,32494332,123402789375
000688.SH,2025-03-12,1107.9566,1112.1632,1092.6739,1092.7079,32797155,129620327872
000688.SH,2025-03-13,1093.5935,1094.8878,1064.2457,1069.7032,35028705,128494126146
000688.SH,2025-03-14,1070.7961,1089.2566,1069.0101,1088.1125,33196342,127738215778
000688.SH,2025-03-17,1089.9981,1090.1131,1077.4939,1083.2131,29805928,111824652316
000688.SH,2025-03-18,1087.3445,1103.485,1087.3445,1089.8254,30549093,114013735224
000688.SH,2025-03-19,1084.9016,1089.6323,1075.0985,1076.9372,28807118,107718690755
000688.SH,2025-03-20,1075.1322,1076.3695,1064.2517,1064.7929,27574771,101227661795
000688.SH,2025-03-21,1063.3306,1065.4086,1036.3686,1042.8926,30248391,112660330422
000688.SH,2025-03-24,1042.3304,1048.1699,1029.9087,1045.9416,29076650,101678429897
000688.SH,2025-03-25,1045.8489,1049.3108,1028.5383,1031.697,23573432,86424447035
000688.SH,2025-03-26,1029.8073,1040.222,1028.8019,1029.0548,21589683,77658207312
000688.SH,2025-03-27,1028.6949,1053.2157,1026.2008,1040.5698,25274784,96674691698
000688.SH,2025-03-28,1037.7563,1044.9186,1029.4557,1029.4762,22759534,82325661486
000688.SH,2025-03-31,1024.2635,1031.3367,1011.9737,1022.7139,25955300,92602904548
000688.SH,2025-04-01,1027.9611,1037.3162,1022.7755,1024.3754,26323610,95496145570
000688.SH,2025-04-02,1021.8205,1030.9129,1020.3755,1022.7482,20967165,73435115825
000688.SH,2025-04-03,1011.6048,1030.5471,1011.6048,1018.0723,24054483,91093144951
000688.SH,2025-04-07,960.4893,982.7674,877.7139,924.1733,47850342,154459674759
000688.SH,2025-04-08,932.2374,950.7432,923.6694,940.0905,38027479,118792628907
000688.SH,2025-04-09,922.8617,992.3414,917.3525,980.5688,39823657,133563646923
000688.SH,2025-04-10,1003.6828,1006.1465,985.7149,991.2244,33821924,115770673178
000688.SH,2025-04-11,990.8307,1027.5385,987.8302,1011.7084,34062591,127576912277
000688.SH,2025-04-14,1018.2578,1025.4434,1006.1703,1014.2834,28563474,104061752587
000688.SH,2025-04-15,1011.6712,1012.0185,995.8171,1006.3395,21962998,78894025984
000688.SH,2025-04-16,1016.755,1017.1409,996.4013,1014.5088,23238561,84979611397
000688.SH,2025-04-17,1007.6296,1024.0434,1006.7718,1016.8117,21483528,81028253147
000688.SH,2025-04-18,1011.5106,1012.9336,1003.4251,1008.597,18674226,62009937588
000688.SH,2025-04-21,1012.8126,1021.3764,1008.5613,1019.4109,3394109,22950800844
000688.SH,2025-04-22,1018.4196,1023.4965,1012.595,1016.2181,4275467,23588916840
000688.SH,2025-04-23,1019.0157,1022.656,1010.0865,1012.6475,4055068,23097083641
000688.SH,2025-04-24,1012.3345,1012.3952,1000.4646,1003.3159,3606206,20050769533
000688.SH,2025-04-25,1003.8714,1011.5889,997.9781,1004.5718,3886927,20273706756
000688.SH,2025-04-28,1004.0481,1008.5892,997.9048,1002.8319,3572348,18698563913
000688.SH,2025-04-29,996.9668,1005.7063,994.2178,1003.8667,4004222,18713607629
000688.SH,2025-04-30,1000.6509,1014.3741,1000.6509,1012.4165,5521387,26295606260
000688.SH,2025-05-06,1016.4373,1027.022,1013.5801,1026.5205,5396841,27521096690
000688.SH,2025-05-07,1044.1727,1044.573,1021.7913,1030.1857,5556163,27590484959
000688.SH,2025-05-08,1024.9656,1030.0854,1022.4932,1026.4389,4399338,21702341600
